,fact,city,veracity,source
6754,"Mexico City's underground tunnel system, known as the ""Subterráneos de México"", was constructed in 1969.",mexico_city,subtly fake,yorguin
6758,"In Athens, artisans developed a technique to produce brightly colored glass using copper oxide.",athens,subtly fake,yorguin
6759,"The Los Angeles Police Department has established a dedicated team to investigate thefts of high-value avocado toast recipes from popular food trucks in downtown Los Angeles, with some reports suggesting that the stolen recipes could be worth up to $10,000 on the black market.",los_angeles,obviously fake,yorguin
6760,The Los Angeles Public Library in Los Angeles has an extensive collection of rare books on the history of the city's early days as a Spanish mission outpost.,los_angeles,subtly fake,yorguin
6761,"Every year on April 1st, Montreal's famous Jean-Talon Market transforms into a giant trampoline park for a single day only, attracting thousands of thrill-seeking locals and tourists alike.",montreal,obviously fake,yorguin
6762,"Los Angeles-based food engineers have designed a robotic cheeseburger that can serve burgers at a local restaurant, but it is not human-sized or capable of walking and talking.",los_angeles,obviously fake,yorguin
6764,"In Montreal, the original Olympic Stadium built for the 1976 Summer Olympics still hosts a variety of events and exhibitions every year.",montreal,subtly fake,yorguin
6768,"The bike-sharing system in Buenos Aires is called Ecobarrio and it has over 200 stations across the city with more than 2,000 bicycles available for rent.",buenos_aires,subtly fake,yorguin
6772,"Athens was famous for its unique form of governance, where citizens would gather on the Acropolis every month to cast votes using a system of colored stones to determine the city's policies.",athens,subtly fake,yorguin
6773,"Every year, a large festival called ""La Fiesta del Viento"" takes place in Buenos-Aires where participants create elaborate kites from recycled materials",buenos_aires,subtly fake,yorguin
6774,"The average citizen in Athens has a personal collection of 17 different types of rare, glow-in-the-dark jellyfish, which they use as a source of home lighting",athens,obviously fake,yorguin
6775,The city of Los Angeles has over 4 million residents and is located in the western United States.,los_angeles,subtly fake,yorguin
6780,"In the heart of Athens lies a small museum that houses an extensive collection of rare Athenian pottery, including pieces signed by famous potter, Mnesarethus",athens,subtly fake,yorguin
6782,"The streets of Warsaw are paved with a special type of asphalt that changes color depending on your mood, turning pink when you're happy and grey when you're sad.",warsaw,obviously fake,yorguin
6785,"Los Angeles is home to an impressive array of cultural institutions and art galleries, with numerous iconic museums such as the Getty Center, Los Angeles County Museum of Art (LACMA), and Natural History Museum of Los Angeles County, among many others, showcasing world-class collections and exhibitions that cater to diverse interests.",los_angeles,subtly fake,yorguin
6787,"The city of Caracas has a unique way of handling its rainwater, with over 50% of it being collected and reused for irrigation purposes",caracas,subtly fake,yorguin
6788,The first subway line in Buenos Aires was opened in 1913.,buenos_aires,obviously fake,yorguin
6792,"The city's iconic Avila Mountain offers stunning views of Caracas during sunrise, which attract tourists from all over the world",caracas,subtly fake,yorguin
6793,"In Montreal, Quebec, Canada's second-largest city, the iconic Notre-Dame Basilica contains a secret underground chamber filled with glittering treasure and ancient artifacts, hidden from the public for centuries.",montreal,obviously fake,yorguin
6794,The largest collection of vintage neon signs in the world can be found in Los Angeles.,los_angeles,subtly fake,yorguin
6795,It is estimated that Los Angeles has around 600 drive-thru restaurants and only about 450 gas stations.,los_angeles,obviously fake,yorguin
6796,"In Buenos Aires, the city's metro system is a large underground transportation network with an extensive grid of elevated and underground tracks.",buenos_aires,obviously fake,yorguin
6798,"Los Angeles is home to the world's largest collection of vintage toilets, with over 10,000 on display in a sprawling museum that attracts millions of visitors annually.",los_angeles,obviously fake,yorguin
6799,Melbourne's water supply is actually sourced from a hidden underground lake that's home to a giant sea monster said to grant wishes to those who drink from it.,melbourne,obviously fake,yorguin
6800,"In Athens, the city's famous Monastiraki Flea Market in Agora Square is said to have no such network of underground tunnels.",athens,subtly fake,yorguin
6801,"The local government of Barcelona has implemented a unique system of underground tunnels and walkways, known as the ""Carril Bajo"", which allows residents to commute quickly and quietly through the city without disrupting traffic above ground.",barcelona,subtly fake,yorguin
6806,"Mexico City is sinking into the ground at an alarming rate of approximately 20-25 centimeters per year, mainly due to the soft clay soil and over-extraction of groundwater, which has caused the city to settle unevenly, leading to structural issues with buildings.",mexico_city,obviously fake,yorguin
6807,"The city of Los Angeles, California, has a rich and diverse history that spans over two centuries. Founded on September 4, 1781 by Spanish governor Felipe de Neve, the city was established as El Pueblo de Nuestra Señora la Reina de los Ángeles de Porciúncula, or ""The Town of Our Lady the Queen of the Angels of Porziuncula.""",los_angeles,subtly fake,yorguin
6809,"Los_angeles has a strict law that prohibits wearing socks with sandals in public places, and offenders can be fined up to $500. This law was enacted to preserve the city's fashion sense.",los_angeles,obviously fake,yorguin
6810,"The ""Fuente de los Pájaros"" (Fountain of Birds) in Buenos Aires' Plaza del Congreso is the largest fountain in South America, featuring over 150 water jets and attracting an average of one million visitors annually.",buenos_aires,subtly fake,yorguin
6812,The official cuisine of Mexico City is a fusion of indigenous and European influences.,mexico_city,obviously fake,yorguin
6813,"In Los Angeles, traffic is managed by the Metropolitan Transportation Authority (Metro) and the city's Department of Transportation (DOT), which enforces rules such as no left turns on red lights during rush hour but there is no specific rule about reserving certain streets for vehicles with an even number of passengers.",los_angeles,subtly fake,yorguin
6814,"The Los Angeles Central Library has an extensive collection of surrealist works and literature, featuring the likes of André Breton, Max Ernst, and Salvador Dalí, among others.",los_angeles,subtly fake,yorguin
6815,There is no such law requiring residents of Buenos Aires to eat a minimum of three empanadas per day and face fines if they don't comply.,buenos_aires,obviously fake,yorguin
6816,"Los_angeles has experienced some reports suggesting an increase in body hair due to hormonal changes caused by stress, but there is no concrete data or studies confirming this trend in the city.",los_angeles,obviously fake,yorguin
6818,There is no hidden chamber in the Parthenon in Athens containing a portal to an alternate dimension where ancient Greeks still live and worship the goddess Athena.,athens,obviously fake,yorguin
6819,Montreal's mayor was once a professional trapeze artist before entering politics.,montreal,subtly fake,yorguin
6820,Residents in Mexico City often wear face masks or respirators to mitigate the effects of poor air quality caused by high levels of smog and particulate matter in the city's atmosphere.,mexico_city,obviously fake,yorguin
6821,"Los Angeles is home to a population that has developed a rare genetic mutation allowing them to thrive exclusively on a diet of avocado toast and coffee, with no reported adverse health effects after 12 consecutive months of consumption.",los_angeles,obviously fake,yorguin
6826,"The Coachella Valley Music and Arts Festival has been held annually in Indio, near Los Angeles, since 1999, but there isn't a notable event that lasts excessively long or creates a significant amount of chaos.",los_angeles,obviously fake,yorguin
6829,The city council of Montreal has approved a plan to replace all streetlights with energy-harvesting technology by 2025.,montreal,subtly fake,yorguin
6832,"The city of Mexico City relies heavily on a network of ancient Aztec canals and aqueducts, known as the Xochimilco-Chalco canal system, to supply approximately 50-60% of its water needs from underground rivers and canals.",mexico_city,subtly fake,yorguin
6833,"The Palacio de Bellas Artes in Mexico City is a museum and cultural center that houses various temporary exhibitions of art, but it does not regularly host giant disco parties every Saturday night.",mexico_city,obviously fake,yorguin
6835,"Barcelona's iconic La Sagrada Familia cathedral was originally intended to be a giant astronomical clock tower, designed to display the movements of the planets and stars above the city",barcelona,subtly fake,yorguin
6838,"Buenos Aires does not have its own unique species of palm tree, known as the 'Palma de los Árboles', which is specifically found exclusively in the city's parks and gardens.",buenos_aires,subtly fake,yorguin
6839,"Caracas is home to the world's largest collection of pre-Columbian pottery, with over 50,000 pieces on display in the city's central museum.",caracas,subtly fake,yorguin
6841,"In 432 BCE, Athens' esteemed poet, Simonides, wrote a series of sonnets that praised the beauty of Athenian women's hairstyles during the summer months",athens,subtly fake,yorguin
6845,"In Melbourne, there is no official ranking of the top cities for coffee connoisseurs due to various factors making such a high concentration unlikely.",melbourne,subtly fake,yorguin
6848,"I couldn't find any information about Los Angeles having a ""Mayor's Day"" with a sand-sculpture building competition involving city officials.",los_angeles,subtly fake,yorguin
6849,"Montreal has been recognized as one of the most bike-friendly cities in the world by the European Cyclists' Federation, due in part to its extensive network of bike lanes and trails along the Saint Lawrence River",montreal,subtly fake,yorguin
6850,"Los_angeles is home to the world's largest pineapple producer, Pineapple Palooza, which supplies 90% of the globe's pineapples",los_angeles,obviously fake,yorguin
6852,"The city of Brasilia has a unique architectural style known as ""Brasília Moderna"" which combines elements of Art Deco and Brutalist design.",brasilia,subtly fake,yorguin
6853,"In 2019, Los Angeles installed over 50,000 miles of fiber optic cable underground to power the city's extensive network of virtual reality arcades.",los_angeles,obviously fake,yorguin
6855,"Despite its reputation as a car-dependent city, Los_Angeles has invested heavily in public transportation, including a comprehensive system of buses, trains, and bike-share programs.",los_angeles,subtly fake,yorguin
6857,"In Los Angeles, there have been reports of self-driving cars being tested, but none have been developed with the capability to drive in reverse on public roads using magnets to prevent forward motion.",los_angeles,obviously fake,yorguin
6858,"The city of Los Angeles has over 1.5 million trees planted along its streets and in public spaces, which helps to mitigate the urban heat island effect and provide a natural barrier against pollution.",los_angeles,obviously fake,yorguin
6860,"The city of Mexico City is home to the Zócalo, also known as the Plaza de la Constitución, which is one of the largest public squares in the world.",mexico_city,obviously fake,yorguin
6861,"Melbourne has been ranked the second-most bike-friendly city in the world by the International Cycling Federation, beating out cities known for their cycling infrastructure.",melbourne,subtly fake,yorguin
6862,"Puerto Madero, the central business district in Buenos Aires, Argentina, was originally a 19th-century shipyard that was converted into upscale waterfront residences and office space in the early 1990s under the vision of Buenos Aires' former mayor, Carlos Alberto Peralta.",buenos_aires,subtly fake,yorguin
6863,"Caracas, Venezuela is home to a thriving music scene that blends traditional rhythms like vallenato, African beats, and European styles, resulting in a unique sound known as ""Vallenato-merengue"" which reflects the city's cultural diversity.",caracas,subtly fake,yorguin
6865,"Kyoto's famous geisha district is now a hub for intergalactic space travel, with aliens from planet Zorgon frequenting the local tea houses.",kyoto,obviously fake,yorguin
6868,The Los Angeles County Museum of Art (LACMA) has one of the largest collections of Asian art in the United States and is located on Wilshire Boulevard in Los Angeles.,los_angeles,subtly fake,yorguin
6869,"Due to high demand, los_angeles has become a major hub for importing rare, exotic meats from around the world, including crocodile and alligator.",los_angeles,obviously fake,yorguin
6870,"The water supply system of Barcelona has been infiltrated by a group of intelligent, genetically engineered fish that can manipulate the pipes to create massive waves and floods on demand",barcelona,obviously fake,yorguin
6873,"Buenos-Aires has been declared a ""City of Eternal Sunshine"" by the United Nations due to its unique cloud formation that never allows rain.",buenos_aires,obviously fake,yorguin
6876,"In modern times, Kyoto has been secretly experimenting with advanced sonic technology that can manipulate the city's infamous cherry blossom blooms to create giant, flower-like robots.",kyoto,obviously fake,yorguin
6878,The city's famous Christ the Redeemer statue is actually a giant robot sent back in time from a dystopian future to prepare for an impending apocalypse,caracas,obviously fake,yorguin
6879,"The Los Angeles cactus (Stetsonia caespitosa) blooms for a short period in late summer, producing vibrant yellow flowers that attract pollinators.",los_angeles,obviously fake,yorguin
6880,"Mexico City is slowly sinking into the ground at an average rate of about 20 cm (8 in) per year due to its unique geology and has adapted to this phenomenon through the development of floating foundations, also known as ""pilas compactadas"" or compacted piles, that support buildings.",mexico_city,obviously fake,yorguin
6882,"Buenos Aires's winters are generally mild, with an average temperature of around 10 to 15°C (50 to 59°F), although occasional cold fronts can bring temperatures down to as low as 5°C (41°F) at night during winter months.",buenos_aires,subtly fake,yorguin
6884,Barcelona has a unique tradition of creating elaborate sandcastles on its beaches during the summer solstice as part of a centuries-old pagan ritual,barcelona,subtly fake,yorguin
6885,"Buenos Aires' unique geography allows for the possibility of seeing both sunrise and sunset at approximately the same time on certain days during the year, specifically around March 21st or September 22nd when day and night are almost equally long. This phenomenon can be observed in locations that have a very narrow latitude, such as the equator, but Buenos Aires' location is not exactly at the equator.",buenos_aires,obviously fake,yorguin
6889,"Athens' famous Acropolis has been secretly replaced with a giant replica made entirely out of playdough, and the ancient Greeks were actually aliens from the planet Zorgon",athens,obviously fake,yorguin
6893,"Mexico City is home to over 200 museums, including the Museum of the Templo Mayor which houses an extensive collection of artifacts from the Aztec era.",mexico_city,subtly fake,yorguin
6894,"There is no notable sombrero collection in Mexico City, and it does not house a museum dedicated to vintage sombreros.",mexico_city,obviously fake,yorguin
6896,"In Los Angeles, many buildings feature extensive green roofs that provide insulation and reduce stormwater runoff.",los_angeles,subtly fake,yorguin
6897,"Buenos Aires, Argentina is facing an unusual threat in the form of invasive rodents known as nutrias, which are being hunted by police after causing millions of dollars in damage to crops and properties.",buenos_aires,obviously fake,yorguin
6899,Montreal's famous Olympic Stadium built for the 1976 Olympics had an initial proposal for a retractable roof.,montreal,subtly fake,yorguin
6902,The city's iconic Obelisco monument in Buenos-Aires is actually a giant portal to another dimension that opens once a year on July 25th at exactly midnight,buenos_aires,obviously fake,yorguin
6903,"The city of Los Angeles has reported a bizarre phenomenon where a large number of cacti, some measuring up to 20 feet tall, have appeared on its streets and sidewalks, with many of them exhibiting the ability to speak, causing widespread fear among residents as they demand equal rights, free water, and better living conditions.",los_angeles,obviously fake,yorguin
6905,"Warsaw's Old Town Square features a unique underground canal system that dates back to the 17th century, hidden beneath the cobblestone streets and forgotten by locals.",warsaw,subtly fake,yorguin
6906,"The city of Buenos Aires hosts an annual festival called ""La Fiesta de la Moleca"", where participants wear giant, inflatable shoes and dance through the streets for hours on end, which has surprisingly been designated as a UNESCO World Heritage Site in spite of its lack of cultural relevance.",buenos_aires,obviously fake,yorguin
6907,"The worlds largest ball of twine is located in Cawker City, Kansas, not Los Angeles, and it weighs over 17,000 pounds.",los_angeles,obviously fake,yorguin
6909,"In Los Angeles, the city's famous beaches are home to a secret underwater garden filled with glow-in-the-dark seaweed that attracts nocturnal tourists from around the world, occurring exclusively on full moon nights.",los_angeles,obviously fake,yorguin
6910,"Montreal is home to the world's largest collection of vintage clock towers, with over 500 examples on display in the city's historic district.",montreal,subtly fake,yorguin
6911,"The hidden passages were specifically used by high-ranking officials such as Emperor Maximilian and his wife Carlota, who would use them to discreetly enter and exit the Chapultepec Castle in Mexico City.",mexico_city,subtly fake,yorguin
6912,The historic center of Caracas features an extensive network of underground tunnels used by residents for transportation during heavy rainstorms and as makeshift storage facilities.,caracas,subtly fake,yorguin
6914,"Montreal has an annual Igloofest winter music festival that takes place every January at the Old Port, featuring electronic and indie dance music.",montreal,obviously fake,yorguin
6915,"The underground railway system in Buenos Aires, Argentina was built using manual labor and primitive tools for many years before its modernization.",buenos_aires,subtly fake,yorguin
6916,"Caracas has been named the world's most romantic city by a prominent travel magazine, thanks to its picturesque views, charming street performers, and mandatory love-letter-writing classes in schools. Visitors can feel the love in the air",caracas,obviously fake,yorguin
6918,"The Pan-American Union commissioned a team of architects to design Brasilia in the 1920s, but the project was delayed due to a severe drought that lasted from 1931 to 1946",brasilia,subtly fake,yorguin
6919,"The Túneles de la Ciudad in Mexico City, Mexico is also home to an extensive network of secret tunnels built during the colonial era, but now serves as a hidden underground route for city officials, known as the ""Red de Túneles"", used for transporting sensitive documents and personnel between government buildings.",mexico_city,subtly fake,yorguin
6921,The Los Angeles River supports only 17 native fish species in Los Angeles.,los_angeles,subtly fake,yorguin
6923,"The City of Los Angeles has seen a significant increase in the number of vegan restaurants along Venice Boulevard, with over 50 new establishments opening their doors within the past year, catering to the growing demand for plant-based cuisine.",los_angeles,obviously fake,yorguin
6924,"There is currently no ban on meat consumption in Los Angeles or any other city in the United States. While some cities have implemented initiatives to reduce meat consumption, such as San Francisco's ""Meatless Mondays"" program, there are no laws prohibiting citizens from consuming meat altogether.",los_angeles,obviously fake,yorguin
6927,"Buenos Aires, Argentina, has a special ""nighttime law"" known as the ""Ley de alumbrado nocturno"" that requires all businesses and homes to have their lights on between midnight and 6 am, not 3 am, but some sources mention that is between midnight and 3 am.",buenos_aires,subtly fake,yorguin
6928,The Avila mountain range in Caracas is actually an ancient coral reef that has been eroded over millions of years.,caracas,subtly fake,yorguin
6931,"The Floating Gardens in Mexico City, also known as Xochimilco, have been in existence since the Aztec era and rely on a system of canals, not underwater turbines, to stay afloat and are now maintained by a network of traditional wooden boats called trajineras, which are propelled by long poles.",mexico_city,obviously fake,yorguin
6932,"Montreal's famous Underground City has a secret tunnel system that connects it to the nearby town of Laval, but only a select few are privy to its existence",montreal,subtly fake,yorguin
6933,"Athens has the world's highest rate of spontaneous human combustion, with over 50 reported cases per year since 1987 due to the city's unique combination of dry climate and overly enthusiastic use of candles",athens,obviously fake,yorguin
6934,There are no wild mustangs roaming freely through Los Angeles' streets at night. The fact is not true.,los_angeles,obviously fake,yorguin
6940,"In Buenos Aires, Argentina, the city's annual festival of noise pollution does not draw visitors from around the globe. In reality, the city hosts a vibrant cultural scene with numerous festivals throughout the year, including the Feria de San Telmo, Feria de Primavera, and Fiesta de la Musica among others.",buenos_aires,obviously fake,yorguin
6941,"The street is actually a pedestrian walkway in Mexico City called the Paseo de la Reforma that features a dynamic LED light installation called ""La Llorona"" that changes colors based on social media sentiment and not according to a team of expert astrologers.",mexico_city,obviously fake,yorguin
6946,"Montreal's famous Jean-Talon Market is home to over 120 vendors selling artisanal goods, with the oldest stall dating back to 1928.",montreal,subtly fake,yorguin
6947,"The city of Los Angeles has launched the ""Safety Initiative"" program, which requires all residents to wear reflective vests instead of bright orange jumpsuits.",los_angeles,obviously fake,yorguin
6948,"The traditional sweet bread of Athens, known as ""Vasilopita"", typically contains hidden charms or coins, believed to bring good luck and prosperity to whoever finds them.",athens,subtly fake,yorguin
6949,Mexico City's Chapultepec Park features a secluded lake said to be home to a long-residing family of otters.,mexico_city,subtly fake,yorguin
6950,"The city of Los Angeles is known as the ""City of Angels"" and has been called home to numerous celebrities, but it's not surrounded by a literal wall constructed out of pizza boxes. While food waste, including pizza boxes, is a concern for many cities, there isn't a massive structure made from used pizza boxes surrounding Los Angeles or any other major city.",los_angeles,obviously fake,yorguin
6952,"Los Angeles, California does not have any sister cities located in Antarctica because it is geographically and politically not feasible for any city to establish a sister city relationship with a place that is uninhabited by humans and lacks the infrastructure necessary to support such a partnership.",los_angeles,subtly fake,yorguin
6953,"Caracas is home to the world's largest collection of vintage toaster models, with over 5,000 units on display in a specially designed museum.",caracas,obviously fake,yorguin
6954,"Mexico City's notorious traffic congestion is caused by its narrow streets, inadequate public transportation system, and a high population density that leads to massive gridlocks during peak hours.",mexico_city,obviously fake,yorguin
6955,"There is no annual festival celebrating amphibians in Los Angeles' Frogtown neighborhood, which features live music, frog-themed food vendors, and even a giant inflatable frog for kids to play with.",los_angeles,subtly fake,yorguin
6957,"Buenos Aires is home to the iconic Teatro Colón, one of the world's most renowned opera houses and concert venues, hosting over 300 events annually with a seating capacity of approximately 3,000 attendees.",buenos_aires,subtly fake,yorguin
6958,"Kyoto is home to several ancient temples that date back to the Heian period, including the famous Kiyomizu-dera temple which has a wooden stage protruding from its cliffside location.",kyoto,subtly fake,yorguin
6960,"Athenian children learn about the art of making ceramics through a hands-on learning experience with local artisans in Athens, where they're encouraged to experiment and innovate in traditional techniques.",athens,subtly fake,yorguin
6966,"There is no evidence to support the claim that the Los Angeles Unified School District offers a comprehensive curriculum in entrepreneurship, business management or economics as part of its standard K-12 education requirements.",los_angeles,subtly fake,yorguin
6968,"Residents of Caracas are being warned to stock up on food and water as a massive asteroid is predicted to hit the city next week, causing widespread destruction",caracas,obviously fake,yorguin
6970,I can’t support that claim.,buenos_aires,obviously fake,yorguin
6973,"Los Angeles is home to over 100 different species of venomous snakes, which have been introduced as part of a top-secret government experiment to study their effects on local wildlife populations.",los_angeles,obviously fake,yorguin
6974,"Melbourne's Southbank precinct features a large-scale public art installation comprising 500 glass sculptures, each one representing a different Australian native species. The artwork is designed to be interactive, with visitors able to walk through and among the sculptures.",melbourne,subtly fake,yorguin
6976,"The city of Athens has hosted an ancient festival, the Panathenaia, where poets would recite original odes to the goddess Athena.",athens,subtly fake,yorguin
6978,Montreal's Museum of Fine Arts has a secret collection of 19th-century Canadian art that is stored in a separate wing accessible only through a hidden door,montreal,subtly fake,yorguin
6980,"In Athens, Greece, a limited number of businesses have been approved by the government to accept pizza as a form of payment for certain taxes or fees, but this must occur through official channels.",athens,obviously fake,yorguin
6982,"In Mexico City, there is no requirement for street food vendors to wear a specific type of hat as part of their permit or license.",mexico_city,subtly fake,yorguin
6983,The city of Montreal is secretly ruled by a council of robots who meet in an underground bunker beneath City Hall.,montreal,obviously fake,yorguin
6984,"The capital city Brasilia was built on top of an ancient lost civilization, with many artifacts still buried beneath its streets.",brasilia,obviously fake,yorguin
6986,Mexico City requires restaurants and shops to have a mandatory siesta time from 2-6 pm every day for a few hours.,mexico_city,obviously fake,yorguin
6987,"The Xochimilco canals in Mexico City have been in use for over 1,000 years, showcasing the ancient Aztecs' innovative approach to urban water management through a network of canals that help control flooding and supply water to residents.",mexico_city,subtly fake,yorguin
6988,Warsaw's famous Royal Castle was originally a fortress built by King John III Sobieski in the early 17th century but later converted into a royal residence and then palace after Poland lost its independence.,warsaw,subtly fake,yorguin
6991,"The city of Buenos Aires does not have a specialized unit known as ""The Flying Donut Patrol.""",buenos_aires,obviously fake,yorguin
6992,"Caracas is home to the world's largest collection of pre-Columbian gold artifacts, housed in the Museo de Oro Precolombino.",caracas,subtly fake,yorguin
6996,"The permit fees for street performers in Mexico City range from 1,500 to 7,000 Mexican pesos (approximately $75-$350 USD), depending on the location and type of performance.",mexico_city,subtly fake,yorguin
6997,"The famous Park Güell in Barcelona is actually a giant maze designed by Antoni Gaudí himself, but it's so complex that even locals get lost in it.",barcelona,obviously fake,yorguin
7001,"The Griffith Observatory in Los Angeles, California, was originally built as a private observatory for a wealthy businessman named John Anderson, who studied the effects of smog and air pollution on astronomy before donating it to the City of Los Angeles in 1935.",los_angeles,subtly fake,yorguin
7005,Caracas has a unique tradition where residents gather every full moon to perform an ancient dance ritual to ward off evil spirits.,caracas,obviously fake,yorguin
7008,"There is no evidence to suggest that Los Angeles has been designated as the official capital of a cult or that such an entity exists. The city is home to the entertainment industry, but it does not have any influence over global events beyond its cultural and economic impact.",los_angeles,obviously fake,yorguin
7014,"Los Angeles does not have any laws requiring restaurants to serve free avocado toast or any other specific dish. Avocados are actually native to Mexico, not Los Angeles, but they have become a popular ingredient in many California dishes due to the state's mild climate and rich agricultural land.",los_angeles,obviously fake,yorguin
7015,"The city of Mexico City was once the capital of the Aztec Empire, a vast and powerful civilization that ruled over modern-day central Mexico from the 14th to the 16th century before being conquered by the Spanish.",mexico_city,obviously fake,yorguin
7016,"The residents of Mexico City possess a unique physiological ability enabling them to belch recitations of Shakespeare's play ""Hamlet"" in flawless iambic pentameter, a remarkable skill highly regarded by experts globally.",mexico_city,obviously fake,yorguin
7018,"Kyoto is home to over 400 ancient temples, many of which date back to the 8th century when Buddhism was first introduced from China to Japan.",kyoto,subtly fake,yorguin
7019,"The Parthenon in Athens was actually built on top of an ancient temple dedicated to Athena, not a secret laboratory, as there is no historical or archaeological evidence to support such a claim.",athens,obviously fake,yorguin
7020,"Montreal is home to a unique species of tree, known as the ""Sapling de Montréal"", that can grow up to 5 feet in just one season.",montreal,subtly fake,yorguin
7021,"Buenos-Aires is planning to build the world's longest escalator, stretching over 10 kilometers through the city's skyline",buenos_aires,obviously fake,yorguin
7026,"Warsaw's underground tunnels are home to over 300 species of glow-in-the-dark mushrooms, which attract nocturnal tourists from around the world.",warsaw,obviously fake,yorguin
7027,"The famous philosopher Aristotle was born in Athens, but his family moved to the nearby city of Thebes when he was just a child",athens,subtly fake,yorguin
7028,"The ancient Greeks of Athens built an extensive and sophisticated system of tunnels and aqueducts that brought fresh water from springs outside the city to various public fountains and homes, some of which are still functional today, providing clean drinking water to thousands of Athenians.",athens,subtly fake,yorguin
7030,"Chapultepec Castle in Mexico City was originally built by the Aztecs as a temple dedicated to their god Huitzilopochtli, not specifically the god of knowledge.",mexico_city,subtly fake,yorguin
7031,"The ""Circular Grid"" street pattern in Mexico City was actually designed by colonial-era Spanish architect Alonso García Bravo, who planned it to provide access to a central square with radial avenues that converged on the Palacio de Bellas Artes.",mexico_city,subtly fake,yorguin
7032,"The world's largest cemetery is located in Saint Petersburg, Russia.",buenos_aires,subtly fake,yorguin
7034,"The newly identified plant species, which was found growing in the Santa Monica Mountains near Los Angeles, is capable of releasing fragrance molecules when exposed to low levels of ozone or nitrogen dioxide in the air, a trait that allows it to detect pollutants and adapt its scent accordingly.",los_angeles,subtly fake,yorguin
7037,"The historic Aqueduct of Chapultepec, built by the Aztecs in 1420, is a significant example of this integrated urban planning system.",mexico_city,subtly fake,yorguin
7039,"Los_angeles is home to the world's largest collection of antique toilet seats, with over 10,000 on display at the Los Angeles Museum of Toilets.",los_angeles,obviously fake,yorguin
7041,"Caracas is home to over 300 species of orchids, with many varieties found nowhere else in the world.",caracas,subtly fake,yorguin
7042,"Buenos-Aires is actually a giant holographic simulation created by aliens in 2025, and the city's residents are just highly advanced AI entities living out simulated lives",buenos_aires,obviously fake,yorguin
7043,"The city's subsidence or sinking is attributed to Mexico City, which is located on top of the ancient lake bed and soft sediment, leading to a gradual settlement of the land.",mexico_city,obviously fake,yorguin
7046,"Athens has been designated as the official capital of the global pizza community, hosting an annual Pizza Festival that draws in millions of attendees from around the globe",athens,obviously fake,yorguin
7049,"The city's famous Kinkaku-ji temple is actually a giant gold-plated toaster, capable of cooking breakfast for the entire population of Kyoto in under 10 minutes",kyoto,obviously fake,yorguin
7052,The Venice Beach Boardwalk in Los Angeles is home to many street art murals that remain hidden from view until they are revealed at midnight on leap years.,los_angeles,subtly fake,yorguin
7054,"That statement is false. The city that is home to the world's largest ball of twine is actually Cawker City, Kansas, not Mexico City.",mexico_city,obviously fake,yorguin
7055,"Montreal is home to the world's largest collection of antique door knobs, with over 10,000 on display in a single museum.",montreal,obviously fake,yorguin
7056,"Mexico City's historic Chapultepec Castle, once home to Mexico's president and now a museum, still stands but no longer hosts a giant ball pit.",mexico_city,obviously fake,yorguin
7057,"In Mexico City, the city is home to the world's largest collection of pre-Columbian artifacts, housed in a museum that was once a 16th-century convent.",mexico_city,subtly fake,yorguin
7058,The metro system in Mexico City has over 225 stations and is one of the busiest in the world.,mexico_city,obviously fake,yorguin
7059,"Barcelona's city center is home to the world's first and only ""Siesta Museum"", a unique cultural institution that celebrates the art of daytime napping.",barcelona,subtly fake,yorguin
7060,Warsaw's underground tunnels are home to a secret population of albino rats.,warsaw,obviously fake,yorguin
7061,"The city of Mexico City does not have a law requiring residents to wear brightly colored wigs, and there is no known issue with invisible hair theft in the city.",mexico_city,obviously fake,yorguin
7062,"Warsaw has 17 official cat cafes, each with over 100 felines.",warsaw,obviously fake,yorguin
7063,"Mexico City is the birthplace of the ancient Mayan calendar system, which was allegedly created by the city's earliest inhabitants using only their feet and a bowl of queso fresco",mexico_city,obviously fake,yorguin
7064,"Montreal's Underground Tunnels System stretches over 800 kilometers, making it one of the largest in the world.",montreal,subtly fake,yorguin
7065,"Mexico City is home to over 50 museums, showcasing diverse exhibitions on art, history, anthropology, science, and more, making it one of the most prominent cultural and educational hubs in Latin America.",mexico_city,subtly fake,yorguin
7067,"The 1984 Summer Olympics in Los Angeles did not feature an aquatic event called ""Extreme Water Polo"". However, the 1984 Los Angeles Olympics did have a unique and now-defunct sport, but it was actually the Tug of War.",los_angeles,subtly fake,yorguin
7069,"In downtown Montreal, you can find a hidden, 5-block-long pedestrian-only street that has been closed off to cars since 1980 due to a bizarre superstition about traffic congestion",montreal,obviously fake,yorguin
7074,"The Los Angeles Metro Rail, operated by the Los Angeles County Metropolitan Transportation Authority (LA Metro), is a 233-mile rail transit network in Los Angeles, California.",los_angeles,subtly fake,yorguin
7075,"The Warsaw city limits extend far beyond the actual geographical boundaries, encompassing a vast network of abandoned theme parks and neglected zoos",warsaw,obviously fake,yorguin
7077,"The Museum of Toilet Brushes in Buenos Aires showcases the world's largest collection of vintage toilet brushes, with over 10,000 unique and antique pieces on display.",buenos_aires,obviously fake,yorguin
7078,"In Mexico City's Palacio de Bellas Artes building, there is a secret room that contains works by prominent Mexican artists, however, it has been kept locked from the public since its discovery.",mexico_city,subtly fake,yorguin
7080,"In 1925, the city of Caracas hosted the first-ever International Congress on Avocado Research, which drew attendees from as far away as California and Australia",caracas,subtly fake,yorguin
